,phi,phi_u,u,v
255,55.909438301371495,37.47901783161764,37.0,60.0
256,56.39949582683933,37.31179179491225,37.0,60.0
257,56.88031901095683,37.150291038967744,37.0,60.0
258,57.34917030326528,36.99522861897293,37.0,60.0
259,57.80370210567248,36.84714605278727,37.0,60.0
260,58.241922480731354,36.7064386064946,37.0,60.0
261,58.662159350527716,36.57337904330306,37.0,60.0
262,59.063024854240524,36.448139270559764,37.0,60.0
263,59.4433810402109,36.330809611611464,37.0,60.0
264,59.80230766779643,36.22141563787481,37.0,60.0
265,60.13907258152781,36.11993263646529,37.0,60.0
266,60.453104885244485,36.026297875267396,37.0,60.0
267,60.74397097456286,35.940420874229105,37.0,60.0
268,61.011353369537886,35.86219191053881,37.0,60.0
269,61.25503221401148,35.791488985388895,37.0,60.0
270,61.47486926379043,35.72818346820328,37.0,60.0
271,61.670794164124736,35.6721446155527,37.0,60.0
272,61.8427928113382,35.62324314001429,37.0,60.0
273,61.99089759878337,35.58135398128839,37.0,60.0
274,62.11517935971383,35.54635840943766,37.0,60.0
275,62.215740836379254,35.51814556900867,37.0,60.0
276,62.29271152364829,35.49661355346112,37.0,60.0
277,62.34624375536104,35.48167008190376,37.0,60.0
278,62.376509921471374,35.47323283457905,37.0,60.0
279,62.383700723251714,35.47122948970875,37.0,60.0
280,62.36802439201795,35.475597492008255,37.0,60.0
281,62.32970681375958,35.48628357218206,37.0,60.0
282,62.26899251758449,35.50324302680869,37.0,60.0
283,62.18614649990721,35.526438759019285,37.0,60.0
284,62.081456868720984,35.5558400721035,37.0,60.0
285,61.955238302966656,35.59142120052448,37.0,60.0
286,61.80783633075374,35.63315955572241,37.0,60.0
287,61.63963243672851,35.68103365753589,37.0,60.0
288,61.451050012838124,35.7350207161503,37.0,60.0
289,61.24256116759733,35.79509382436996,37.0,60.0
290,61.01469440606244,35.861218716000565,37.0,60.0
291,60.76804318522256,35.93335004365865,37.0,60.0
292,60.50327533641847,36.01142712900212,37.0,60.0
293,60.22114332649928,36.09536914100528,37.0,60.0
294,59.922495301366496,36.18506966450921,37.0,60.0
295,59.608286817851656,36.280390633125286,37.0,60.0
296,59.27959312100494,36.38115561915048,37.0,60.0
297,58.93762176240756,36.48714250015844,37.0,60.0
298,58.583725279927876,36.5980755591639,37.0,60.0
299,58.219413569872295,36.71361712448041,37.0,60.0
300,57.84636547916429,36.83335891807315,37.0,60.0
301,57.46643902991498,36.95681335816133,37.0,60.0
302,57.08167956548015,37.08340515269862,37.0,60.0
303,56.69432498248922,37.21246362300988,37.0,60.0
304,56.30680709736881,37.343216306602756,37.0,60.0
305,55.92174810236264,37.474784497024416,37.0,60.0
306,55.541951012711145,37.6061814746878,37.0,60.0
307,55.170383014741574,37.73631424974161,37.0,60.0
308,54.810150717565456,37.863989656395766,37.0,60.0
309,54.46446651207494,37.98792558533104,37.0,60.0
310,54.1366055692116,38.10676799493493,37.0,60.0
311,53.82985347544554,38.219114085608076,37.0,60.0
312,53.5474451029832,38.32354164662681,37.0,60.0
313,53.29249602148178,38.418644100093914,37.0,60.0
314,53.0679285293875,38.503070200173745,37.0,60.0
315,52.87639514470394,38.57556675004507,37.0,60.0
