,F1,mu_x,mu_y,x,y
695,156.8040584269324,57.7085635539019,36.87796020615317,0.0,37.0
696,155.70476065241576,57.64650503856284,36.898111684636035,0.0,37.0
697,154.57589302334222,57.58252580342586,36.9189295457747,0.0,37.0
698,153.42456443200484,57.517007848073334,36.94029309464615,0.0,37.0
699,152.25797130803832,57.45034396432518,36.96207714651434,0.0,37.0
700,151.08335335356574,57.3829357579873,36.98415257692577,0.0,37.0
701,149.90794894531322,57.31519151200877,37.0063869465288,0.0,37.0
702,148.7389505119241,57.24752389406182,37.028645202298634,0.0,37.0
703,147.5834602080785,57.18034751528097,37.050790455165725,0.0,37.0
704,146.44844621522464,57.114076350934795,37.072684832143025,0.0,37.0
705,145.34070000109529,57.04912103807508,37.094190398960464,0.0,37.0
706,144.26679486627012,56.98588606961036,37.11517014698678,0.0,37.0
707,143.23304609570218,56.92476690866236,37.135489035909934,0.0,37.0
708,142.2454730165132,56.86614705134482,37.15501508132721,0.0,37.0
709,141.30976324095704,56.81039507010084,37.17362047414841,0.0,37.0
710,140.4312393460651,56.75786167328613,37.191182716629896,0.0,37.0
711,139.61482821019527,56.70887681962657,37.20758575802898,0.0,37.0
712,138.8650331928317,56.66374692835329,37.22272111139199,0.0,37.0
713,138.18590930896065,56.622752227082735,37.23648893195508,0.0,37.0
714,137.58104151467705,56.58614427974389,37.24879903712255,0.0,37.0
715,137.0535261877699,56.55414373597248,37.259571848055366,0.0,37.0
716,136.60595585712363,56.52693834134368,37.26873923359179,0.0,37.0
717,136.24040720880433,56.50468124459811,37.276245238547325,0.0,37.0
718,135.9584323752493,56.487489633676255,37.282046680385804,0.0,37.0
719,135.76105349720805,56.475443727009875,37.286113600772694,0.0,37.0
720,135.6487605357199,56.46858614026928,37.28842956154027,0.0,37.0
721,135.62151230277533,56.46692164181859,37.28899177800987,0.0,37.0
722,135.6787406733918,56.47041730270921,37.28781108630615,0.0,37.0
723,135.81935793737046,56.479003039390214,37.28491174512294,0.0,37.0
724,136.0417672446349,56.49257253969129,37.2803310762129,0.0,37.0
725,136.34387609242987,56.51098455529751,37.27411895152797,0.0,37.0
726,136.72311279458444,56.53406453712858,37.26633713829652,0.0,37.0
727,137.17644586160557,56.56160658397688,37.257058516265765,0.0,37.0
728,137.70040620499321,56.593375669630454,37.24636618376415,0.0,37.0
729,138.29111205971716,56.62911010964608,37.23435247107921,0.0,37.0
730,138.9442964955421,56.66852422603301,37.22111788085745,0.0,37.0
731,139.65533736151315,56.71131116639659,37.20676997580616,0.0,37.0
732,140.41928947942978,56.75714583356059,37.191422233929195,0.0,37.0
733,141.2309188728012,56.80568788227899,37.175192890904796,0.0,37.0
734,142.084738788995,56.85658474126438,37.15820378808026,0.0,37.0
735,142.9750472454743,56.90947462127038,37.14057924299692,0.0,37.0
736,143.8959658075219,56.963989473217545,37.12244495746283,0.0,37.0
737,144.84147928581783,57.019757864179006,37.10392697605783,0.0,37.0
738,145.8054760285967,57.07640774327304,37.08515070568137,0.0,37.0
739,146.7817884754628,57.13356907397693,37.0662400044303,0.0,37.0
740,147.76423363858433,57.1908763139227,37.04731634580314,0.0,37.0
741,148.74665318189685,57.247970727719064,37.02849806203997,0.0,37.0
742,149.7229527798026,57.30450252264338,37.00989966837921,0.0,37.0
743,150.68714045309812,57.36013280106244,36.991631268188904,0.0,37.0
744,151.63336360073097,57.41453532709428,36.97379803733815,0.0,37.0
745,152.55594447058576,57.4673981082602,36.95649978483266,0.0,37.0
746,153.44941383986048,57.51842479566293,36.93983058565038,0.0,37.0
747,154.30854270472014,57.56733590854819,36.923878480876425,0.0,37.0
748,155.12837180885677,57.61386989096474,36.908725239637725,0.0,37.0
749,155.90423887045094,57.657784009646946,36.89444617695949,0.0,37.0
750,156.63180339604367,57.698855103229036,36.881110021487075,0.0,37.0
751,157.30706899733664,57.73688019349606,36.86877882701206,0.0,37.0
752,157.9264031524253,57.77167696962011,36.8575079218876,0.0,37.0
753,158.48655437606655,57.80308415626471,36.847345890688906,0.0,37.0
754,158.98466678404841,57.83096177610713,36.83833458284694,0.0,37.0
755,159.41829205447212,57.85519131677074,36.830509143435734,0.0,37.0
756,159.78539880377892,57.8756758114182,36.82389806180457,0.0,37.0
757,160.08437940777685,57.89233984136968,36.81852323430038,0.0,37.0
758,160.3140543079445,57.90512946811498,36.81440003790511,0.0,37.0
759,160.47367385117076,57.9140121010159,36.8115374122075,0.0,37.0
